City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
78,laojunmiao,39.8333,97.7333,19.42,25,99,3.75,CN,2024-06-11
79,osmanabad,18.1667,76.05,21.11,97,100,0.83,IN,2024-06-11
80,porto velho,-8.7619,-63.9039,28.03,74,40,0.51,BR,2024-06-11
81,ushuaia,-54.8,-68.3,-3.19,74,0,2.06,AR,2024-06-11
82,pacific grove,36.6177,-121.9166,29.66,78,0,3.58,US,2024-06-11
83,mount gambier,-37.8333,140.7667,11.13,61,91,4.9,AU,2024-06-11
84,el granada,37.5027,-122.4694,38.1,54,20,9.26,US,2024-06-11
85,stanley,54.868,-1.6985,7.93,92,40,1.03,GB,2024-06-11
86,prince rupert,54.3161,-130.3201,13.05,90,100,5.14,CA,2024-06-11
87,orange walk,17.8333,-88.8333,31.8,65,100,2.74,BZ,2024-06-11
88,sur,22.5667,59.5289,32.03,48,0,6.22,OM,2024-06-11
89,yeppoon,-23.1333,150.7333,13.47,70,0,2.47,AU,2024-06-11
90,kingston,17.997,-76.7936,32.53,62,20,9.77,JM,2024-06-11
91,jamestown,42.097,-79.2353,15.77,76,100,2.57,US,2024-06-11
92,qui nhon,13.7667,109.2333,27.11,74,78,1.47,VN,2024-06-11
93,puerto natales,-51.7236,-72.4875,-1.76,94,31,1.67,CL,2024-06-11
94,port mathurin,-19.6833,63.4167,24.33,70,81,8.8,MU,2024-06-11
95,cabo san lucas,22.8909,-109.9124,34.17,31,0,4.63,MX,2024-06-11
96,luoyang,34.6836,112.4536,26.64,40,2,1.66,CN,2024-06-11
97,thinadhoo,0.5333,72.9333,28.15,76,100,3.81,MV,2024-06-11
98,port hedland,-20.3167,118.5667,16.03,55,0,4.12,AU,2024-06-11
99,tocopilla,-22.092,-70.1979,19.2,75,12,3.23,CL,2024-06-11
100,nueva gerona,21.8833,-82.8,29.47,75,100,7.27,CU,2024-06-11
101,kapa'a,22.0752,-159.319,30.99,74,40,5.14,US,2024-06-11
102,diego de almagro,-26.3667,-70.05,19.08,34,0,2.9,CL,2024-06-11
103,bredasdorp,-34.5322,20.0403,14.23,75,12,6.9,ZA,2024-06-11
104,kayes,14.0,-11.0,38.19,23,30,2.55,ML,2024-06-11
